"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4916","Update Product name","chromium","Tue Oct 21 14:02:55 IST 2025","passed","Tue Oct 21 14:03:00 IST 2025","","POM_Assignment 2.spec.ts","",""
"","4555","Update Product Image","chromium","Tue Oct 21 14:03:00 IST 2025","passed","Tue Oct 21 14:03:05 IST 2025","","POM_Assignment 2.spec.ts","",""
"","3889","Database product count","chromium","Tue Oct 21 14:03:05 IST 2025","passed","Tue Oct 21 14:03:09 IST 2025","","POM_Assignment 2.spec.ts","",""
"","11582","Create Product","chromium","Tue Oct 21 14:02:40 IST 2025","passed","Tue Oct 21 14:02:52 IST 2025","","POM_Assignment 2.spec.ts","",""
